Provider ID,Score,ScoreBin,Hospital Name,ZIP Code,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Efficient use of medical imaging national comparison,Hospital,Cleanliness,Nurses,Doctors,HelpWhenNeeded,PainControl,ExplainMeds,RecoveryInfo,UnderstandCare,Rating,Quiet,Recommend,HAI2,HAI3,HAI4,HAI5,HAI6,Aggregate_Inf,PAYM_30_AMI,PAYM_30_HF,PAYM_30_PN,PayPerBenAvg,COMP_HIP_KNEE,PSI_12_POSTOP_PULMEMB_DVT,PSI_13_POST_SEPSIS,PSI_14_POSTOP_DEHIS,PSI_15_ACC_LAC,PSI_3_ULCER,PSI_4_SURG_COMP,PSI_6_IAT_PTX,PSI_7_CVCBI,PSI_8_POST_HIP,PSI_90_SAFETY,MORT_30_AMI,MORT_30_COPD,MORT_30_HF,MORT_30_PN,MORT_30_STK,READM_30_AMI,READM_30_COPD,READM_30_HF,READM_30_HIP_KNEE,READM_30_HOSP_WIDE,READM_30_PN,READM_30_STK,OP_12 eLab_Rec,OP_17_TrackMedInfo,OP_25_CHECK_OP,SM_PART_GEN_SURG,SM_PART_NURSE,SM_SS_CHECK_IP,SumStruct,ED_IP_Throughput,EDV,IMM__PT,IMM_Workers,ED_OP_Throughput,TimeToEval,TimeToPainMed,LeftBeforeTreat,Endoscopy polyp surveillance  appropriate follow-up interval for normal colonoscopy in average risk patients,AspirinCP,TimeToECG,ElectiveEarlyDelivery,AppropStrokeCare,HospVTE
50396,5,1,SANTA BARBARA COTTAGE HOSPITAL,93102,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,50396,78,82,81,66,75,66,87,55,81,61,86,2.809778028,33.78378378,10.13513514,0,0.500927393,0.394848743,23613,15881,13483,17659,2.9,3.62,7.83,2.33,1.29,0.1,145.32,0.33,0.14,0.06,0.7,12.4,7.7,10.4,14.6,17.7,17.6,18.1,17.1,4.3,13.5,15.1,10.5,1,1,1,1,1,1,6,294,3,98,89,186,43,39,2,70,,,2,88,0
50424,5,1,SCRIPPS GREEN HOSPITAL,92037,Acute Care Hospitals,Voluntary Non-Profit,0,1,Below the national average,50424,76,83,87,66,75,69,87,60,80,57,84,0.577300543,31.25,0,0,1.188872157,0.662071575,24756,16436,13774,18322,2.1,4.92,14.45,2,0.98,0.15,117.59,0.48,0.28,0.06,0.81,12.5,7.2,9.3,14.9,13,16.6,17.7,19.9,4.2,14.4,16.6,12.6,1,1,1,1,0,1,5,,,100,90,,,,,94,,,,,0
60013,5,1,MERCY REGIONAL MEDICAL CENTER,81301,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,60013,77,80,83,69,69,68,88,59,80,64,82,1.507537688,0,0,0.063967249,0.589883498,0.383202938,23187,15000,14452,17546.33333,2.6,3.23,9.08,2.19,1.11,0.99,139.73,0.35,0.15,0.06,0.71,12.7,8.3,11,16.8,15.2,15.4,17.7,19.5,4.2,13.9,16,11.9,1,1,1,0,1,1,5,253,2,97,91,168,34,69,1,95,,,0,,0
100087,5,1,SARASOTA MEMORIAL HOSPITAL,34239,Acute Care Hospitals,Government,1,1,Same as the national average,100087,70,82,80,65,72,66,88,56,78,56,83,1.328273245,22.90076336,9.732360097,0.027231818,0.750934951,0.481419197,23275,18803,15911,19329.66667,2.1,3.76,4.84,1.91,0.9,0.23,145.92,0.56,0.11,0.06,0.65,11.8,9.7,10.3,15.2,15.9,14.5,17.5,18.8,3,13.1,14.4,11,1,1,1,0,1,1,5,294,4,98,98,171,52,76,2,95,,,3,100,0
110023,5,1,GORDON HOSPITAL,30701,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,110023,77,85,87,74,76,74,89,59,81,73,79,0.877192982,50,0,0.178837556,1.085984413,0.690587863,21310,15789,14736,17278.33333,3.3,3.23,9.64,2.21,0.85,0.23,,0.36,0.14,0.06,0.61,13.4,7.2,10.9,17.6,13.1,17.8,18.9,20.5,4.4,14.7,13.3,12.5,1,1,1,0,0,1,4,244,2,99,96,147,47,77,3,90,100,6,1,,
110200,5,1,NORTHSIDE MEDICAL CENTER,31909,Acute Care Hospitals,Proprietary,0,1,Not Available,110200,83,89,87,80,80,75,91,65,86,86,89,,0,0,0,0.178826896,0.088723272,,,,,3.5,2.58,8.1,,1.28,0.39,,0.45,0.29,0.06,0.71,,,,,,,,,4.9,14.9,,,1,1,1,0,0,1,4,,,98,53,,,,,94,,,,,
120022,5,1,STRAUB CLINIC AND HOSPITAL,96813,Acute Care Hospitals,Proprietary,1,1,Same as the national average,120022,79,84,85,76,74,70,87,60,82,63,84,0.217533174,0,0,0.022619317,0.633340873,0.322102686,20538,14985,14710,16744.33333,2.6,3.5,11.47,2.11,1.15,0.5,120.82,0.43,0.12,0.06,0.74,12.9,10.5,12.2,12.8,14.1,16,20.8,19,3.8,14.4,15.4,12.4,1,1,1,1,0,1,5,234,2,84,69,130,12,40,0,74,,,,,
130006,5,1,ST LUKE'S REGIONAL MEDICAL CENTER,83712,Acute Care Hospitals,Voluntary Non-Profit,1,0,Same as the national average,130006,78,80,82,65,73,65,90,56,78,58,81,0.708008829,35.81267218,16.2601626,0.015734279,0.484191159,0.329575906,19951,15209,13195,16118.33333,2.9,5.59,14.39,1.61,0.67,0.09,138.35,0.34,0.08,0.06,0.72,12.8,7.5,12.2,12.8,16.3,14.7,17,19.1,3.4,13.9,15.5,11.5,0,0,1,1,1,1,4,254,4,98,93,143,24,43,1,83,,,1,100,0
140065,5,1,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,60525,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,140065,75,85,84,78,78,71,91,57,78,63,79,0.926097425,42.10526316,0,0.028891714,0.623256366,0.419735702,23100,17353,14962,18471.66667,2.6,5.01,12.27,2.56,1.76,0.1,125.04,0.31,0.1,0.06,0.92,13.4,6,9.6,14.8,16,17.6,17,20.2,5.9,14.6,16.1,11.7,1,1,1,1,1,1,6,212,2,99,78,156,29,56,1,93,,,0,91,
140116,5,1,CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL,60050,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,140116,73,81,80,70,72,63,90,54,69,53,68,0.800800801,0,0,0.025455656,0.672928642,0.36199321,23920,17208,15630,18919.33333,2.9,4.9,9.07,2.12,1.04,0.35,93.07,0.39,0.11,0.06,0.76,13.3,6.6,10.6,14.5,14.6,14.4,18.7,20.3,4.5,14.3,16.3,13.6,1,1,1,0,1,1,5,314,2,100,82,180,52,64,2,96,,,0,100,0
140186,5,1,RIVERSIDE MEDICAL CENTER,60901,Acute Care Hospitals,Voluntary Non-Profit,1,1,Above the national average,140186,73,83,83,70,77,65,90,57,77,62,80,0.365230095,17.85714286,0,0.038001862,0.434413443,0.257064688,22547,17443,14881,18290.33333,3,4.48,5.44,2.03,1.74,0.1,113.35,0.26,0.1,0.06,0.82,13.8,6.1,10.7,14.1,14.9,16.1,18,20.6,4.2,14.3,17,13.3,1,1,1,1,1,1,6,247,3,86,86,135,25,40,1,62,,,2,,0
140202,5,1,ADVOCATE CONDELL MEDICAL CENTER,60048,Acute Care Hospitals,Voluntary Non-Profit,1,1,Above the national average,140202,79,80,77,65,71,63,88,51,73,61,74,0.46996162,6.369426752,0,0.024376569,1.033317878,0.510174163,22484,18269,15297,18683.33333,2.6,3.75,7.06,1.95,0.97,0.67,131.35,0.3,0.09,0.06,0.66,13.4,6,11,15.5,12.3,15.5,18.7,20.3,4.4,14.4,16.8,12.3,1,1,1,1,1,1,6,293,3,99,97,155,24,40,1,96,,,2,100,0
140291,5,1,ADVOCATE GOOD SHEPHERD HOSPITAL,60010,Acute Care Hospitals,Voluntary Non-Profit,1,1,Above the national average,140291,72,81,78,62,72,62,90,55,70,50,73,0.558581204,11.62790698,0,0,0.847949302,0.437132411,25301,17921,15885,19702.33333,2.5,2.73,8.52,2.05,1.31,0.37,153.02,0.26,0.11,0.06,0.65,12.3,6.7,11.4,15.9,13.8,16.8,19,19.6,4.1,14.3,14.7,9.9,1,1,1,1,1,1,6,272,2,98,97,146,26,33,1,99,,,1,91,0
150008,5,1,ST CATHERINE HOSPITAL INC,46312,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,150008,78,84,80,71,73,64,87,57,76,61,75,0.871080139,32.25806452,0,0.029526397,0.704656863,0.40004572,25227,20175,16795,20732.33333,3.2,3.63,10.12,2.19,1.11,0.15,143.9,0.36,0.12,0.06,0.68,14,5.9,9.5,14.4,12.4,16.3,19.8,21.7,4.4,15,17.6,13.7,1,1,1,0,1,1,5,310,2,99,63,159,31,37,5,90,,,0,77,
150057,5,1,FRANCISCAN HEALTH MOORESVILLE,46158,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,150057,79,82,86,66,75,66,92,58,81,62,82,0,26.31578947,35.71428571,0,0,0.148345943,,15127,13428,14277.5,2.5,1.63,8.54,2.77,0.74,0.34,127.59,0.37,0.15,0.06,0.49,,8.9,11,16.4,,,19.1,19.5,3.9,15,15.8,,1,1,1,0,1,1,5,238,2,99,97,118,23,46,0,95,88,4,0,,
150065,5,1,SCHNECK MEDICAL CENTER,47274,Acute Care Hospitals,Government,1,1,Same as the national average,150065,81,87,90,84,76,68,90,60,84,73,78,1.27064803,0,0,0,1.181603345,0.590667454,20976,14415,14110,16500.33333,2.8,3.2,8.67,2.21,0.77,0.2,,0.35,0.24,0.06,0.59,15.4,7.3,13.3,18.5,17,,15.9,19.5,4.8,14.5,15.2,11.4,1,1,1,0,1,1,5,177,2,100,89,91,13,30,1,87,96,2,0,,
150115,5,1,MEMORIAL HOSPITAL AND HEALTH CARE CENTER,47546,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,150115,83,88,85,77,78,74,91,60,84,72,83,0,35.0877193,0,0,0.39228506,0.241203606,20935,15710,15842,17495.66667,3,2.34,11.81,2.56,1.72,0.28,100.68,0.51,0.13,0.06,0.81,12.5,8.2,12.2,16.2,17.3,14.9,18.1,18.2,4.1,14.1,14.6,10.6,1,1,1,0,1,1,5,192,2,98,96,138,29,53,0,75,100,6,0,,
150157,5,1,ST VINCENT CARMEL HOSPITAL INC,46032,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,150157,68,79,85,65,73,63,88,56,78,62,80,0,0,0,0,0.45237172,0.187321042,,18038,15640,16839,3.3,3.05,8.08,2.01,1.44,0.31,,0.42,0.14,0.06,0.74,,8.5,13.5,14.7,13.4,,19.5,21.9,4.1,13.2,16.5,12,1,1,1,0,0,1,4,259,1,100,98,176,36,62,1,100,100,2,3,,
150158,5,1,IU HEALTH WEST HOSPITAL,46123,Acute Care Hospitals,Proprietary,1,1,Above the national average,150158,74,80,80,66,70,66,88,54,79,65,78,1.675743611,44.11764706,0,0.092052777,0.907639823,0.581256707,23560,16557,14965,18360.66667,3.8,3.69,9.37,2.22,0.72,0.17,125.25,0.38,0.12,0.06,0.6,13.4,6,11.1,13.8,11.5,17,21.4,20.1,5,13.8,15.1,11.4,1,1,1,0,1,1,5,354,3,100,98,184,28,68,4,100,98,7,0,,
160029,5,1,MERCY HOSPITAL,52245,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,160029,73,81,86,66,68,63,90,58,81,64,84,2.004008016,40.81632653,0,2.702702703,0,2.631578947,18894,13859,12995,15249.33333,2.4,4.64,12.6,2.58,1.73,0.15,112.23,0.34,0.21,0.06,0.92,12.8,8.1,10.5,16.2,11.5,14.9,17.8,18.7,3.8,13.3,13.5,11.1,0,0,1,0,1,1,3,197,2,95,78,122,20,49,0,99,,,0,,
170104,5,1,SHAWNEE MISSION MEDICAL CENTER,66204,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,170104,81,83,81,69,73,68,89,58,84,70,84,0.257599176,14.53488372,6.633499171,0.023492929,0.285932139,0.201952205,23655,16481,15754,18630,2.7,3.7,7.72,1.79,0.89,0.08,106.98,0.39,0.16,0.06,0.62,16.4,7.4,11.8,14.4,14.7,16.9,18.7,20,5.3,15,18.5,12.5,1,1,1,0,1,1,5,220,4,98,96,137,20,38,2,71,,,1,83,0
170186,5,1,KANSAS HEART HOSPITAL,67226,Acute Care Hospitals,Proprietary,0,1,Not Available,170186,86,85,83,82,80,69,86,59,87,64,90,0.432152118,,,0.129082225,0.258164451,0.224618149,23674,15775,,19724.5,,2.86,9.12,2.28,1.17,0.25,156.27,0.31,0.13,0.06,0.64,11.7,,10.3,,,15.2,,21.7,,14.1,,,1,1,1,0,0,1,4,,,100,85,,,,,,,,,,
190236,5,1,WILLIS KNIGHTON BOSSIER HEALTH CENTER,71111,Acute Care Hospitals,Voluntary Non-Profit,1,1,Below the national average,190236,70,80,81,68,70,66,88,46,74,72,79,0.778816199,25.97402597,0,0.180434848,0.921015022,0.584895432,23746,18003,16125,19291.33333,2.4,2.86,11.19,2.11,0.57,0.1,165.79,0.31,0.1,0.06,0.5,15.5,6.4,9.9,14.8,14.8,16.7,18,22.1,4.3,15,15,11.5,1,1,1,0,1,1,5,263,3,98,78,118,35,47,4,100,,,3,,
200050,5,1,MAINE COAST MEMORIAL HOSPITAL,4605,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,200050,81,80,81,72,74,73,91,55,70,54,72,0,57.14285714,0,0,0.1300052,0.180191002,19418,14552,12770,15580,4.5,3.4,,2.22,1.38,0.32,,0.38,0.15,0.06,0.75,13.2,7.6,12.8,13.2,14.7,15.7,19.1,20.3,6,14.3,15.5,11.5,1,1,1,1,1,1,6,341,1,98,97,130,21,75,0,93,100,15,5,,
220088,5,1,NEW ENGLAND BAPTIST HOSPITAL,2120,Acute Care Hospitals,Voluntary Non-Profit,0,1,Same as the national average,220088,76,88,86,74,75,70,94,65,86,53,89,2.047082907,,,0,0.229366566,0.15010789,,17005,15143,16074,2,2.4,5.62,,1.08,0.21,113.12,0.38,0.15,0.06,0.58,,,11.2,13.9,,,19.2,22.2,3.3,11.8,16.5,,1,1,1,1,1,1,6,,,99,90,,,,,4,,,,,
230035,5,1,SPECTRUM HEALTH UNITED HOSPITAL,48838,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,230035,82,82,81,70,74,69,93,60,81,55,81,0,30.3030303,0,0,0.938196318,0.461846359,,13942,13800,13871,3.8,4.98,11.48,2.25,1.08,0.32,,0.45,0.15,0.06,0.81,,8.2,10.7,13,14.8,,19.9,20.1,4.3,14.9,15.6,12.4,1,1,1,1,1,1,6,235,2,99,94,105,21,39,0,100,99,6,0,,
230072,5,1,HOLLAND COMMUNITY HOSPITAL,49423,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,230072,82,84,84,70,73,66,93,54,82,68,83,1.456664239,20.83333333,0,0.02823184,0.355756792,0.221294425,21656,14677,14846,17059.66667,2.1,2.93,10.4,2.74,1.53,0.76,141.17,0.4,0.24,0.06,0.82,13.3,9,11.4,13.1,12.8,15.8,18.6,20.2,3.5,14.6,15.5,11.2,1,1,1,1,1,1,6,221,3,100,98,136,15,39,0,96,100,6,0,,
230105,5,1,MCLAREN - NORTHERN MICHIGAN,49770,Acute Care Hospitals,Voluntary Non-Profit,0,1,Above the national average,230105,73,82,81,75,72,68,89,52,72,48,74,0.540248514,0,0,0.024936412,0.613700872,0.329543582,22314,15237,13519,17023.33333,2.5,2.5,5.82,1.81,0.99,0.46,113.26,0.58,0.09,0.06,0.62,13.5,8.6,11.3,15.7,14.8,15.5,18.1,16.5,4.4,14,15.5,10.1,1,1,1,1,1,1,6,262,2,97,95,129,21,57,1,91,,,1,93,0
230217,5,1,OAKLAWN HOSPITAL,49068,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,230217,77,82,81,71,75,70,92,53,76,66,83,0.618046972,23.80952381,0,0,0.072960747,0.103046749,,15499,14129,14814,2.9,2.77,9.7,2.75,1.79,0.31,143.45,0.43,0.15,0.06,0.82,13.3,8.3,12.7,12.7,13.6,,18.5,20.4,5.3,14.1,14.4,11.2,1,1,1,1,1,1,6,262,2,95,98,130,28,36,1,98,97,6,0,,
230259,5,1,ST JOSEPH MERCY CHELSEA,48118,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,230259,86,89,86,84,77,73,90,63,90,79,91,0,0,0,0,0.292141396,0.134120172,,15654,13910,14782,2,3.07,9.14,2.23,1.3,0.37,,0.38,0.16,0.06,0.71,,7.5,12.3,16.6,13.3,,20.2,19.9,3.9,14.3,15,11.7,1,1,1,1,1,1,6,296,2,97,98,165,32,45,1,97,95,8,,,
240010,5,1,MAYO CLINIC HOSPITAL ROCHESTER,55902,Acute Care Hospitals,Voluntary Non-Profit,1,1,Above the national average,240010,76,83,83,75,71,68,91,60,84,64,88,0.383941641,24.28256071,5.326231691,0.037829157,0.598420025,0.374618604,21860,15318,14367,17181.66667,1.9,5.17,12.52,2.55,1.15,0.35,97.05,0.46,0.18,0.06,0.86,11.6,7.5,9.4,12.3,16.3,15.1,18.7,19.2,3.9,15.1,17.2,11.5,1,1,1,1,1,1,6,260,4,98,88,196,25,41,3,29,,,7,100,0
260006,5,1,MOSAIC LIFE CARE AT ST JOSEPH,64506,Acute Care Hospitals,Voluntary Non-Profit,1,1,Above the national average,260006,71,82,83,63,71,64,90,54,73,66,68,0.384221311,41.09589041,24.3902439,0.02798886,0.501199842,0.30971685,22213,14948,14032,17064.33333,2.3,1.82,10.52,2.7,1.39,0.08,112.73,0.37,0.14,0.06,0.64,11.2,7.8,11.8,12.2,17,15.3,18.3,20.5,3.8,14.7,16.1,12.1,1,1,1,1,1,1,6,224,4,99,99,131,14,45,0,100,,,0,100,0
280128,5,1,CHI HEALTH NEBRASKA HEART,68526,Acute Care Hospitals,Voluntary Non-Profit,0,1,Same as the national average,280128,81,81,82,75,78,61,91,59,83,58,83,,,,0,0.198767641,0.09938382,26200,17344,,21772,,2.83,7.94,2.27,0.81,0.29,129.83,0.33,0.13,0.06,0.55,14.6,,11.8,,,15.8,,19.2,,14,,,1,0,1,0,1,1,4,,,96,98,,,,,,,,,,
280129,5,1,NEBRASKA ORTHOPAEDIC HOSPITAL,68144,Acute Care Hospitals,Physician,1,1,Not Available,280129,85,90,88,86,77,75,93,69,89,82,91,,,,0,0,0,,,,,2.3,2.17,9.82,,1.27,,,0.39,0.17,,0.67,,,,,,,,,3.6,13,,,1,1,1,0,0,1,4,152,1,98,95,81,17,32,0,,91,4,,,
330270,5,1,HOSPITAL FOR SPECIAL SURGERY,10021,Acute Care Hospitals,Voluntary Non-Profit,1,1,Not Available,330270,81,83,84,74,78,66,91,59,87,56,90,0.74615729,,,0.018928997,0.435366939,0.258101265,,,,,2.1,5.19,6.87,,0.97,2.55,94.01,0.34,0.13,0.06,0.9,,,,,,,,,3.3,10.8,,,1,1,1,0,1,1,5,,,98,79,,,,,,,,,,0
340131,5,1,CAROLINA EAST MEDICAL CENTER,28560,Acute Care Hospitals,Government,1,1,Same as the national average,340131,69,82,82,72,71,70,88,55,75,63,77,1.116382919,17.69911504,5.347593583,0.015954307,0.77889364,0.452152322,22373,14899,13603,16958.33333,1.8,3.9,7.12,1.9,1.2,0.08,160.75,0.4,0.15,0.06,0.7,14.1,7.2,12.3,15,16.7,16.5,18.3,19.4,3.9,13.7,15.8,10.7,1,1,1,0,1,1,5,361,4,97,99,270,46,108,2,82,,,1,91,0
360077,5,1,FAIRVIEW HOSPITAL,44111,Acute Care Hospitals,Voluntary Non-Profit,1,1,Above the national average,360077,82,81,79,71,70,66,88,56,76,58,78,0.572141891,20.7253886,3.937007874,0.053125083,0.74613343,0.40630479,21909,15348,13299,16852,3,4.26,7.5,2.55,1.44,0.82,109.51,0.28,0.1,0.06,0.81,13.1,6.6,7.6,12.4,10.6,17.2,21.2,22.6,4.4,15.1,17.5,11.3,1,1,1,0,1,1,5,269,4,96,86,158,17,48,4,,,,3,100,4
360262,5,1,MERCY ST ANNE HOSPITAL,43623,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,360262,81,82,80,73,74,65,87,52,73,64,73,0.383435583,26.31578947,0,0.146241591,0.48747197,0.365973604,24444,15845,15479,18589.33333,2.8,3.37,10.24,2.68,0.83,0.67,131.34,0.35,0.14,0.06,0.65,12.9,6.3,8.3,13.5,13.8,16.7,18.9,21.1,4.8,15,17.4,12.4,1,1,1,0,0,1,4,270,3,97,76,122,21,51,2,76,100,8,,,
360348,5,1,DUBLIN METHODIST HOSPITAL,43016,Acute Care Hospitals,Voluntary Non-Profit,1,1,Same as the national average,360348,78,84,84,71,75,68,88,59,86,76,86,0,0,0,0,0.443824499,0.187150763,,15243,14859,15051,,3.27,9.1,2.17,0.84,0.33,,0.36,0.26,0.06,0.63,,7.6,12.1,13.2,15.2,,19.3,22,,14.5,16.9,12.6,1,1,1,0,1,1,5,232,2,98,58,168,26,54,3,90,95,11,1,,
360352,5,1,SURGICAL HOSPITAL AT SOUTHWOODS,44512,Acute Care Hospitals,Proprietary,0,0,Same as the national average,360352,91,94,91,88,84,82,93,74,95,81,95,0,0,17.64705882,0,0,0.387246676,,,,,2.3,4.01,9.78,2.24,2.02,0.46,,0.4,0.17,0.06,0.95,,,,,,,,,4,14.8,,,0,0,1,0,0,1,2,,,98,65,,,,,100,,,,,
